job1,3,156,39,38,0,38,0,0,0,0,0,0,0,0,44.3,11,7.9,0.73
job2,2,130,35,35,0,35,0,0,0,0,0,0,0,0,53.7,14,10.4,0.78
job3,2,201,68,68,0,68,0,0,0,0,0,0,0,0,66.6,27,13.5,0.65
job4,3,179,43,41,0,41,0,0,0,0,0,0,0,0,51.3,13,9.3,0.67
job5,2,92,56,52,0,52,0,0,0,0,0,0,0,0,22.1,20,9.9,0.46
job6,4,194,48,121,55,47,21,4,1,0,12,6,2,49,42.1,11,8.0,0.76
job7,3,184,47,45,0,45,0,0,0,0,0,0,0,0,53.8,14,10.6,0.81
job8,4,131,73,74,0,74,0,0,0,0,0,0,0,0,21.8,20,9.7,0.48
job9,2,113,70,68,0,68,0,0,0,0,0,0,0,0,34.1,27,18.0,0.32
job10,4,232,54,53,0,53,0,0,0,0,0,0,0,0,51.7,13,9.5,0.84
job11,4,322,80,78,0,78,0,0,0,0,0,0,0,0,75.2,19,16.5,0.79
job12,9,406,86,86,0,86,0,0,0,0,0,0,0,0,42.4,12,7.9,0.85
job13,6,449,121,126,0,126,0,0,0,0,0,0,0,0,64.1,27,13.4,0.71
job14,4,392,170,375,125,169,84,22,1,5,8,60,9,110,68.8,55,22.2,0.58
job15,8,221,114,218,106,73,40,2,1,2,11,21,5,33,21.6,19,9.9,0.58
job16,7,852,205,207,0,207,0,0,0,0,0,0,0,0,118.9,31,27.3,0.78
job17,26,1112,215,221,0,221,0,0,0,0,0,0,0,0,41.9,12,7.7,0.82
job18,10,805,298,723,475,178,72,4,1,5,8,50,8,109,69.6,58,21.7,0.62
job19,22,1216,221,219,0,219,0,0,0,0,0,0,0,0,54.1,13,9.3,0.85
job20,22,532,229,543,434,69,43,6,1,2,10,24,5,34,22.0,19,8.9,0.44
job21,24,1814,405,403,0,403,0,0,0,0,0,0,0,0,74.7,19,16.3,0.78
job22,18,2032,533,1752,1437,221,96,18,1,5,7,71,12,153,106.4,57,25.1,0.75
job23,34,2263,435,433,0,433,0,0,0,0,0,0,0,0,65.8,16,12.3,0.82
job24,10,976,568,1088,622,321,147,14,1,10,7,111,18,176,72.9,131,39.4,0.39
job25,45,1024,471,461,0,461,0,0,0,0,0,0,0,0,21.7,19,9.7,0.57
job26,55,3693,696,1084,397,648,43,66,2,0,12,6,1,72,66.7,16,12.4,0.82
job27,44,1495,758,745,0,745,0,0,0,0,0,0,0,0,32.9,28,16.4,0.47
job28,23,2259,786,2601,2000,274,334,73,3,9,8,78,13,169,90.4,85,28.7,0.65
job29,20,3226,829,2379,1540,614,229,75,2,10,7,83,12,232,150.9,95,35.0,0.75
job30,32,2354,816,812,0,812,0,0,0,0,0,0,0,0,69.5,59,22.8,0.68
job31,35,4192,961,984,0,984,0,0,0,0,0,0,0,0,119.1,31,27.0,0.78
job32,29,3491,1189,1237,0,1237,0,0,0,0,0,0,0,0,112.0,108,35.5,0.64
job33,25,2005,1166,2155,1725,296,136,5,1,10,7,100,16,167,72.0,122,39.9,0.42
job34,25,4041,1122,2912,2270,558,88,41,2,3,9,26,4,186,159.0,55,43.3,0.74
job35,106,2341,1010,2360,2246,69,47,3,1,2,18,21,4,33,21.7,20,9.2,0.56
job36,39,5915,1292,1309,0,1309,0,0,0,0,0,0,0,0,151.1,37,32.7,0.78
job37,32,5105,1320,1334,0,1334,0,0,0,0,0,0,0,0,155.5,75,38.7,0.72
job38,42,2497,1418,1684,470,1173,43,7,1,2,10,25,5,69,58.3,44,32.9,0.47
job39,32,3250,1357,1372,0,1372,0,0,0,0,0,0,0,0,98.1,75,39.7,0.6
job40,78,5811,1282,1749,531,1175,47,10,2,0,15,5,1,78,74.2,19,16.2,0.79
job41,34,8878,2682,5166,3042,1937,196,257,4,2,11,28,4,276,259.2,93,77.4,0.72
job42,38,4851,2884,5025,4462,392,173,12,1,10,8,132,23,234,122.0,154,71.5,0.35
job43,39,6437,2689,6538,5785,522,235,35,2,8,6,88,13,256,159.6,139,65.2,0.6
job44,26,5512,2904,4454,1249,2810,403,393,4,13,5,69,11,261,204.9,173,106.8,0.41
job45,48,5112,3000,4659,3645,940,78,36,2,2,9,22,4,119,105.4,75,61.8,0.39
job46,39,17589,10815,16206,11185,4766,259,206,2,11,5,96,15,536,443.9,397,272.6,0.42
job47,65,29284,17035,20544,5391,14914,242,245,2,9,7,89,13,550,447.2,344,259.7,0.46
job48,67,36633,11044,11717,1688,9839,194,54,2,5,22,58,9,584,544.5,193,163.5,0.73
job49,72,16633,10410,12628,4483,7876,273,138,2,10,6,103,15,349,227.8,228,141.9,0.37
job50,65,17060,10289,11554,2688,8718,153,73,2,5,6,54,8,309,260.5,189,157.0,0.4
