job1,3,156,39,38,0,38,0,0,0,0,0,0,0,0,44.3,12,7.9,0.73
job2,2,130,35,35,0,35,0,0,0,0,0,0,0,0,53.7,14,10.4,0.78
job3,2,201,68,66,0,66,0,0,0,0,0,0,0,0,66.6,26,13.5,0.65
job4,3,179,43,41,0,41,0,0,0,0,0,0,0,0,51.3,13,9.3,0.67
job5,2,92,56,50,0,50,0,0,0,0,0,0,0,0,22.1,18,9.9,0.46
job6,4,194,48,51,0,51,0,0,0,0,0,0,0,0,42.1,11,8.0,0.76
job7,3,184,47,44,0,44,0,0,0,0,0,0,0,0,53.8,14,10.6,0.81
job8,4,131,73,71,0,71,0,0,0,0,0,0,0,0,21.8,19,9.7,0.48
job9,2,113,70,69,0,69,0,0,0,0,0,0,0,0,34.1,27,18.0,0.32
job10,4,232,54,52,0,52,0,0,0,0,0,0,0,0,51.7,13,9.5,0.84
job11,4,322,80,80,0,80,0,0,0,0,0,0,0,0,75.2,19,16.5,0.79
job12,9,406,86,85,0,85,0,0,0,0,0,0,0,0,42.4,12,7.9,0.85
job13,6,449,121,127,0,127,0,0,0,0,0,0,0,0,64.1,28,13.4,0.71
job14,4,392,170,369,131,152,88,2,1,5,7,64,10,116,68.8,56,22.2,0.58
job15,8,221,114,220,107,73,42,3,1,2,11,22,5,34,21.6,19,9.9,0.58
job16,7,852,205,205,0,205,0,0,0,0,0,0,0,0,118.9,31,27.3,0.78
job17,26,1112,215,223,0,223,0,0,0,0,0,0,0,0,41.9,12,7.7,0.82
job18,10,805,298,781,544,163,76,10,1,5,7,53,9,109,69.6,59,21.7,0.62
job19,22,1216,221,438,192,206,44,29,2,0,12,6,1,59,54.1,13,9.3,0.85
job20,22,532,229,536,425,69,43,7,1,2,10,25,5,34,22.0,19,8.9,0.44
job21,24,1814,405,397,0,397,0,0,0,0,0,0,0,0,74.7,19,16.3,0.78
job22,18,2032,533,1072,395,521,160,45,2,6,6,57,8,154,106.4,59,25.1,0.75
job23,34,2263,435,436,0,436,0,0,0,0,0,0,0,0,65.8,16,12.3,0.82
job24,10,976,568,1080,623,296,163,5,1,10,7,124,20,179,72.9,123,39.4,0.39
job25,45,1024,471,467,0,467,0,0,0,0,0,0,0,0,21.7,20,9.7,0.57
job26,55,3693,696,697,0,697,0,0,0,0,0,0,0,0,66.7,16,12.4,0.82
job27,44,1495,758,1440,1299,102,41,1,1,2,10,23,5,44,32.9,26,16.4,0.47
job28,23,2259,786,811,0,811,0,0,0,0,0,0,0,0,90.4,86,28.7,0.65
job29,20,3226,829,1638,569,836,236,51,2,9,5,88,14,231,150.9,96,35.0,0.75
job30,32,2354,816,1235,290,748,201,47,2,5,35,50,8,114,69.5,55,22.8,0.68
job31,35,4192,961,969,0,969,0,0,0,0,0,0,0,0,119.1,31,27.0,0.78
job32,29,3491,1189,1223,0,1223,0,0,0,0,0,0,0,0,112.0,108,35.5,0.64
job33,25,2005,1166,2119,1675,314,133,30,1,10,5,98,18,170,72.0,124,39.9,0.42
job34,25,4041,1122,2684,1407,902,392,306,8,4,10,28,4,179,159.0,53,43.3,0.74
job35,106,2341,1010,2327,2218,71,40,9,1,2,10,23,4,33,21.7,19,9.2,0.56
job36,39,5915,1292,1724,472,1214,43,18,2,0,12,6,1,153,151.1,36,32.7,0.78
job37,32,5105,1320,1458,0,1458,0,0,0,0,0,0,0,0,155.5,75,38.7,0.72
job38,42,2497,1418,2400,2212,148,42,17,1,2,10,23,5,70,58.3,42,32.9,0.47
job39,32,3250,1357,1980,940,962,80,6,1,5,7,57,10,138,98.1,74,39.7,0.6
job40,78,5811,1282,1614,279,1253,89,53,4,0,14,5,1,79,74.2,19,16.2,0.79
job41,34,8878,2682,5638,2676,2500,481,963,10,2,11,27,4,305,259.2,93,77.4,0.72
job42,38,4851,2884,4786,4212,431,145,23,1,10,6,110,17,217,122.0,168,71.5,0.35
job43,39,6437,2689,6294,5807,356,134,9,1,8,6,102,16,256,159.6,141,65.2,0.6
job44,26,5512,2904,3697,703,2780,218,24,2,7,6,81,13,275,204.9,166,106.8,0.41
job45,48,5112,3000,4763,3475,1211,81,49,2,2,9,24,4,128,105.4,77,61.8,0.39
job46,39,17589,10815,16339,11982,4067,293,251,2,10,6,109,19,552,443.9,381,272.6,0.42
job47,65,29284,17035,21181,7627,13323,236,316,2,9,7,87,13,533,447.2,344,259.7,0.46
job48,67,36633,11044,12311,1729,10433,153,100,2,5,5,55,8,579,544.5,197,163.5,0.73
job49,72,16633,10410,11843,2989,8595,262,99,2,11,5,98,15,326,227.8,221,141.9,0.37
job50,65,17060,10289,11841,2927,8565,358,156,4,20,6,52,8,300,260.5,192,157.0,0.4
