time(s),gpu_used,job_completion
12464,10,97.12
12494,10,97.14
12524,10,97.14
12554,10,97.18
12584,10,97.23
12614,10,97.25
12644,10,97.28
12674,10,97.28
12704,10,97.32
12734,10,97.33
12764,10,97.35
12794,10,97.39
12824,10,97.42
12854,10,97.49
12884,10,97.54
12914,10,97.54
12944,10,97.56
12974,10,97.56
13004,10,97.59
13034,10,97.61
13064,10,97.61
13094,10,97.64
13124,10,97.66
13154,10,97.74
13184,10,97.78
13214,10,97.78
13244,10,97.83
13274,10,97.83
13304,10,97.87
13334,10,97.89
13364,10,97.89
13394,10,97.93
13424,10,97.97
13454,10,97.98
13485,10,98.03
13515,10,98.03
13545,10,98.07
13575,10,98.08
13605,10,98.1
13635,10,98.14
13665,10,98.2
13695,10,98.24
13725,10,98.26
13768,9,98.3
13798,9,98.32
13828,9,98.33
13858,9,98.33
13888,9,98.34
13918,9,98.35
13948,9,98.45
13978,9,98.47
14008,9,98.47
14038,9,98.49
14068,9,98.51
14098,9,98.54
14128,9,98.55
14158,9,98.55
14188,9,98.56
14218,9,98.62
14248,9,98.64
14278,9,98.69
14308,9,98.69
14338,9,98.71
14369,9,98.75
14399,9,98.76
14442,8,98.79
14472,7,98.82
14502,7,98.86
14532,7,98.9
14562,7,98.9
14592,7,98.92
14622,7,98.92
14652,7,98.94
14682,7,98.98
14712,7,98.98
14742,7,98.98
14772,6,99.01
14802,5,99.04
14832,5,99.07
14862,5,99.07
14892,5,99.07
14922,5,99.07
14952,5,99.07
14982,5,99.12
15012,5,99.12
15042,4,99.15
15072,4,99.18
15102,4,99.2
15132,4,99.22
15162,4,99.22
15192,4,99.22
15222,4,99.22
15252,4,99.23
15283,4,99.27
15313,4,99.27
15343,4,99.3
15373,4,99.3
15403,4,99.32
15433,4,99.34
15463,4,99.34
15493,4,99.34
15523,4,99.34
15553,3,99.35
15583,3,99.37
15613,3,99.4
15643,3,99.4
15673,3,99.4
15703,3,99.4
15733,3,99.4
15763,3,99.42
15793,3,99.42
15823,3,99.42
15853,3,99.42
15883,3,99.48
15913,3,99.49
15943,3,99.49
15973,3,99.49
16003,3,99.49
16033,3,99.49
16063,3,99.51
16093,3,99.51
16123,3,99.51
16153,3,99.53
16183,3,99.55
16213,3,99.56
16243,3,99.56
16273,3,99.56
16304,3,99.56
16334,3,99.56
16364,3,99.58
16394,3,99.58
16424,3,99.61
16454,3,99.61
16484,3,99.64
16514,3,99.65
16544,3,99.65
16574,3,99.65
16604,3,99.65
16634,3,99.65
16664,2,99.67
16694,2,99.69
16724,2,99.69
16754,2,99.69
16784,2,99.71
16814,2,99.71
16844,2,99.71
16874,2,99.71
16904,2,99.71
16934,2,99.71
16964,2,99.74
16994,2,99.74
17024,2,99.74
17054,2,99.74
17084,1,99.77
17114,1,99.77
17144,1,99.77
17174,1,99.77
17204,1,99.77
17234,1,99.79
17264,1,99.79
17294,1,99.79
17324,1,99.79
17355,1,99.79
17385,1,99.79
17415,1,99.79
17445,1,99.79
17475,1,99.79
17505,1,99.79
17535,1,99.82
17565,1,99.82
