time(s),gpu_used,job_completion
11175,12,96.41
11206,12,96.44
11236,12,96.47
11266,12,96.55
11296,12,96.57
11326,12,96.62
11356,12,96.62
11394,11,96.72
11424,11,96.78
11454,11,96.84
11502,10,96.92
11532,10,96.98
11562,10,96.98
11592,10,96.99
11622,10,96.99
11652,10,97.07
11682,10,97.08
11712,10,97.14
11742,10,97.21
11772,10,97.25
11802,10,97.27
11832,10,97.32
11875,9,97.39
11905,9,97.39
11935,9,97.4
11965,9,97.46
11995,9,97.46
12025,9,97.5
12056,9,97.54
12086,9,97.56
12129,8,97.63
12159,8,97.67
12189,7,97.67
12219,7,97.68
12249,7,97.69
12279,7,97.7
12309,7,97.7
12339,7,97.76
12369,7,97.8
12399,7,97.82
12429,7,97.84
12459,7,97.84
12489,7,97.84
12519,7,97.86
12549,7,97.86
12579,7,97.9
12609,7,97.9
12639,7,97.96
12669,7,97.97
12699,7,97.97
12729,7,98.01
12759,7,98.01
12789,7,98.01
12819,7,98.05
12849,7,98.05
12880,7,98.09
12910,6,98.13
12940,6,98.13
12970,6,98.18
13000,6,98.18
13030,6,98.2
13060,6,98.2
13090,6,98.23
13120,6,98.26
13150,6,98.26
13180,6,98.28
13210,6,98.3
13240,6,98.3
13270,6,98.35
13300,6,98.35
13330,6,98.35
13360,6,98.4
13390,6,98.4
13420,6,98.41
13450,6,98.41
13480,6,98.41
13510,6,98.46
13540,6,98.46
13570,6,98.49
13600,6,98.52
13630,5,98.54
13660,5,98.55
13690,5,98.55
13720,5,98.57
13750,5,98.57
13780,5,98.57
13810,5,98.62
13840,5,98.62
13870,5,98.69
13900,5,98.69
13930,5,98.69
13961,5,98.7
13991,5,98.7
14021,5,98.72
14051,5,98.72
14081,5,98.74
14111,5,98.76
14141,5,98.79
14171,5,98.82
14201,5,98.82
14231,5,98.82
14261,5,98.83
14291,5,98.83
14321,5,98.84
14351,5,98.84
14381,5,98.87
14411,5,98.91
14441,5,98.91
14471,5,98.96
14501,5,98.96
14531,5,98.96
14561,5,98.96
14591,5,98.97
14621,5,98.98
14651,5,99
14681,5,99.02
14711,5,99.02
14741,5,99.06
14771,5,99.08
14801,5,99.08
14831,5,99.08
14861,5,99.08
14891,5,99.1
14921,5,99.13
14951,5,99.16
14981,5,99.16
15011,5,99.16
15042,4,99.22
15072,4,99.22
15102,4,99.22
15132,4,99.22
15162,4,99.22
15192,4,99.27
15222,4,99.29
15252,4,99.29
15282,4,99.29
15312,4,99.32
15342,4,99.33
15372,4,99.33
15402,4,99.33
15432,4,99.33
15462,4,99.35
15492,4,99.37
15522,3,99.4
15552,3,99.4
15582,3,99.4
15612,3,99.42
15642,3,99.43
15672,3,99.43
15702,3,99.43
15732,3,99.46
15762,3,99.46
15792,3,99.47
15822,3,99.47
15852,3,99.47
15882,3,99.47
15912,3,99.5
15942,3,99.52
15972,3,99.52
16002,3,99.54
16032,3,99.54
16062,3,99.55
16092,3,99.55
16122,3,99.55
16152,3,99.55
16183,3,99.57
16213,3,99.58
16243,3,99.6
16273,3,99.6
16303,3,99.6
16333,3,99.6
16363,3,99.62
16393,3,99.62
16423,3,99.62
16453,3,99.62
16483,3,99.65
16513,2,99.69
16543,2,99.69
16573,2,99.69
16603,2,99.69
16633,2,99.71
16663,2,99.71
16693,2,99.71
