job1,3,156,39,39,0,39,0,0,0,0,0,0,0,0,44.3,0,7.9,0.73
job2,2,130,35,40,0,40,0,0,0,0,0,0,0,0,53.7,0,10.4,0.78
job3,2,201,68,71,0,71,0,0,0,0,0,0,0,0,66.6,0,13.5,0.65
job4,3,179,43,47,0,47,0,0,0,0,0,0,0,0,51.3,0,9.3,0.67
job5,2,92,56,52,0,52,0,0,0,0,0,0,0,0,22.1,0,9.9,0.46
job6,4,194,48,52,0,127,0,0,0,0,0,0,0,0,42.1,0,8.0,0.76
job7,3,184,47,45,0,45,0,0,0,0,0,0,0,0,53.8,0,10.6,0.81
job8,4,131,73,73,0,73,0,0,0,0,0,0,0,0,21.8,0,9.7,0.48
job9,2,113,70,68,0,68,0,0,0,0,0,0,0,0,34.1,0,18.0,0.32
job10,4,232,54,54,0,54,0,0,0,0,0,0,0,0,51.7,0,9.5,0.84
job11,4,322,80,77,0,77,0,0,0,0,0,0,0,0,75.2,0,16.5,0.79
job12,9,406,86,86,0,86,0,0,0,0,0,0,0,0,42.4,0,7.9,0.85
job13,6,449,121,123,0,123,0,0,0,0,0,0,0,0,64.1,0,13.4,0.71
job14,4,392,170,170,0,380,0,0,0,0,0,0,0,0,68.8,0,22.2,0.58
job15,8,221,114,238,129,68,43,4,1,2,11,22,6,34,21.6,0,9.9,0.58
job16,7,852,205,232,0,232,0,0,0,0,0,0,0,0,118.9,0,27.3,0.78
job17,26,1112,215,218,0,218,0,0,0,0,0,0,0,0,41.9,0,7.7,0.82
job18,10,805,298,725,475,178,74,10,1,5,6,53,9,110,69.6,0,21.7,0.62
job19,22,1216,221,237,0,237,0,0,0,0,0,0,0,0,54.1,0,9.3,0.85
job20,22,532,229,567,428,69,72,3,1,2,11,25,33,34,22.0,0,8.9,0.44
job21,24,1814,405,397,0,397,0,0,0,0,0,0,0,0,74.7,0,16.3,0.78
job22,18,2032,533,1016,360,501,159,5,2,6,11,53,8,146,106.4,58,25.1,0.75
job23,34,2263,435,446,0,446,0,0,0,0,0,0,0,0,65.8,0,12.3,0.82
job24,10,976,568,1045,552,332,164,10,1,10,6,125,21,170,72.9,0,39.4,0.39
job25,45,1024,471,459,0,459,0,0,0,0,0,0,0,0,21.7,0,9.7,0.57
job26,55,3693,696,707,0,707,0,0,0,0,0,0,0,0,66.7,0,12.4,0.82
job27,44,1495,758,1515,1374,99,45,11,1,2,10,26,5,47,32.9,0,16.4,0.47
job28,23,2259,786,2155,439,813,913,235,6,34,27,76,12,180,90.4,83,28.7,0.65
job29,20,3226,829,1566,527,819,224,22,2,9,6,81,13,222,150.9,97,35.0,0.75
job30,32,2354,816,810,0,810,0,0,0,0,0,0,0,0,69.5,0,22.8,0.68
job31,35,4192,961,981,0,981,0,0,0,0,0,0,0,0,119.1,0,27.0,0.78
job32,29,3491,1189,1256,0,1256,0,0,0,0,0,0,0,0,112.0,0,35.5,0.64
job33,25,2005,1166,2184,1736,293,157,5,1,11,7,117,21,184,72.0,0,39.9,0.42
job34,25,4041,1122,2540,1381,865,306,167,6,2,15,27,4,173,159.0,53,43.3,0.74
job35,106,2341,1010,2347,2224,68,56,5,1,2,10,25,18,33,21.7,0,9.2,0.56
job36,39,5915,1292,1321,0,1321,0,0,0,0,0,0,0,0,151.1,0,32.7,0.78
job37,32,5105,1320,1386,0,1386,0,0,0,0,0,0,0,0,155.5,0,38.7,0.72
job38,42,2497,1418,2513,2301,172,42,14,1,2,11,23,5,73,58.3,0,32.9,0.47
job39,32,3250,1357,1970,751,1108,113,4,1,5,8,68,31,146,98.1,0,39.7,0.6
job40,78,5811,1282,1735,408,1238,98,45,4,0,15,5,1,78,74.2,19,16.2,0.79
job41,34,8878,2682,5815,3626,1904,296,275,6,2,11,28,4,300,259.2,97,77.4,0.72
job42,38,4851,2884,4908,4323,432,155,29,1,11,7,118,18,232,122.0,0,71.5,0.35
job43,39,6437,2689,6881,5658,676,555,240,4,23,7,88,18,252,159.6,139,65.2,0.6
job44,26,5512,2904,3706,889,2609,212,28,2,7,7,77,13,272,204.9,162,106.8,0.41
job45,48,5112,3000,5306,4996,269,42,33,1,2,10,25,4,124,105.4,0,61.8,0.39
job46,39,17589,10815,16676,11866,4521,292,303,2,10,6,109,18,590,443.9,380,272.6,0.42
job47,65,29284,17035,20604,7707,12659,242,81,2,8,8,90,13,527,447.2,338,259.7,0.46
job48,67,36633,11044,12682,1692,10697,297,163,2,6,79,53,8,582,544.5,190,163.5,0.73
job49,72,16633,10410,12287,1465,10123,706,324,4,48,6,103,16,354,227.8,230,141.9,0.37
job50,65,17060,10289,11659,3334,8055,274,192,2,5,67,54,9,301,260.5,178,157.0,0.4
