0,0,0.0
30,0,0.0
60,1,0.0
90,2,0.0
120,3,0.67
150,3,1.0
180,4,1.25
210,4,2.02
240,5,2.05
270,6,2.2100000000000004
300,7,2.42
330,8,2.7700000000000005
360,9,3.4800000000000004
390,9,4.73
420,9,5.12
450,10,5.390000000000001
480,11,5.65
510,12,6.15
540,12,6.62
570,13,7.07
600,13,8.33
630,14,8.55
660,15,9.280000000000001
690,15,9.850000000000001
720,16,10.450000000000001
750,16,10.98
780,17,11.48
810,18,12.25
840,19,13.24
871,18,14.05
901,19,14.34
931,20,14.99
961,20,15.34
991,21,16.060000000000002
1021,22,16.950000000000003
1051,22,17.410000000000004
1081,23,17.9
1111,24,18.52
1141,23,19.560000000000002
1171,24,20.05
1201,24,20.97
1231,24,21.5
1261,24,21.93
1291,24,22.46
1321,24,22.93
1351,24,23.67
1381,24,24.14
1411,24,24.72
1441,24,25.53
1471,24,25.75
1501,24,26.39
1531,24,26.869999999999997
1562,24,27.189999999999998
1592,24,28.17
1622,24,28.75
1652,24,29.41
1682,24,29.89
1712,24,30.310000000000002
1742,24,30.830000000000002
1772,24,31.08
1802,24,31.58
1832,24,31.94
1862,24,32.23
1892,24,32.85
1922,24,33.129999999999995
1952,24,33.78
1982,24,34.120000000000005
2012,24,34.58
2042,24,35.019999999999996
2072,24,35.47
2102,24,35.96
2132,24,36.44
2162,24,36.81
2192,24,37.12
2222,24,37.36
2252,24,38.0
2282,24,38.69
2312,24,39.44
2342,24,39.97
2372,24,41.05
2403,24,41.41
2433,24,41.599999999999994
2463,24,42.39
2493,24,42.900000000000006
2523,24,43.45
2553,24,43.69
2583,24,43.980000000000004
2613,24,44.17
2643,24,44.44
2673,24,44.78
2703,24,45.019999999999996
2733,24,45.64
2763,24,46.03
2793,24,46.519999999999996
2823,24,46.93000000000001
2853,24,47.44
2883,24,47.81
2913,24,48.14
2943,24,48.7
2973,24,48.96
3003,24,49.14
3033,24,49.28
3063,24,49.980000000000004
3093,24,50.73
3123,24,51.46
3153,24,52.08
3184,24,52.239999999999995
3214,24,53.29
3244,24,53.42
3274,24,53.589999999999996
3304,24,53.66
3334,24,54.07
3364,24,54.239999999999995
3394,24,54.83
3424,24,55.03
3454,24,55.61
3484,24,55.66
3514,24,55.82
3544,24,56.03
3574,24,56.36
3604,24,56.480000000000004
3634,24,56.629999999999995
3664,24,56.84
3694,24,56.95
3724,24,57.25
3754,24,57.470000000000006
3784,24,57.63
3814,24,57.79
3844,24,57.89
3874,24,58.18
3904,24,58.35000000000001
3934,24,58.53
3964,24,58.7
3994,24,58.980000000000004
4024,24,59.040000000000006
4054,24,59.349999999999994
4084,24,59.53
4115,24,59.629999999999995
4145,24,59.879999999999995
4175,24,60.11
4205,24,60.339999999999996
4235,24,60.489999999999995
4265,24,60.730000000000004
4295,24,60.92
4325,24,61.22
4355,24,61.44
4385,24,61.620000000000005
4415,24,61.78
4445,24,61.95
4475,24,62.17000000000001
4505,24,62.309999999999995
4535,24,62.589999999999996
4565,24,62.7
4595,24,62.900000000000006
4625,24,63.0
4655,24,63.239999999999995
4685,24,63.48
4715,24,63.61
4745,24,63.81
4775,24,63.97
4805,24,64.1
4835,24,64.27000000000001
4865,24,64.58
4895,24,64.68
4925,24,64.87
4955,24,65.04
4985,24,65.32
5015,24,65.42
5045,24,65.61
5075,24,65.78
5106,24,65.96000000000001
5136,24,66.06
5166,24,66.25999999999999
5196,24,66.45
5226,24,66.57
5256,24,67.3
5286,24,67.94
5316,24,68.19
5346,24,68.39
5376,24,68.56
5406,24,68.67
5436,24,68.93
5466,24,69.07
5496,24,69.31
5526,24,69.38
5556,24,69.61
5586,24,69.81
5616,24,70.01
5646,24,70.2
5676,24,70.45
5706,24,71.08
5736,24,71.78999999999999
5766,24,72.01
5796,24,72.12
5826,24,72.38
5856,24,72.47
5886,24,72.81
5916,24,73.01
5946,24,73.17
5976,24,73.46000000000001
6006,24,73.65
6037,24,73.94
6067,24,74.16
6097,24,74.34
6127,24,74.62
6157,24,74.81
6187,24,75.03
6217,24,75.22999999999999
6247,24,75.55
6277,24,75.63
6307,24,75.88999999999999
6337,24,76.08000000000001
6367,24,76.24
6397,24,76.50999999999999
6427,24,76.71
6457,24,77.04
6487,24,77.25
6517,24,77.45
6547,24,77.74
6577,24,77.92999999999999
6607,24,78.16999999999999
6637,24,78.97
6667,24,79.32000000000001
6697,24,79.94999999999999
6727,24,80.13
6757,24,80.38999999999999
6787,24,81.1
6817,24,81.91999999999999
6847,24,82.19
6877,24,82.46000000000001
6907,24,82.59
6937,24,82.83
6967,24,83.14999999999999
6998,24,83.35
7028,24,83.64999999999999
7058,24,83.92000000000002
7088,24,84.17
7118,24,84.75
7148,24,85.23
7178,24,85.74999999999999
7208,24,86.02999999999999
7238,23,86.49000000000001
7268,22,86.62
7298,22,86.78999999999999
7328,22,86.84
7358,22,86.91
7388,22,86.97
7418,22,87.13
7448,22,87.25
7478,22,87.38000000000001
7508,22,87.42
7538,22,87.54
7568,22,87.66000000000001
7598,22,87.86
7628,20,87.92
7658,20,87.95
7688,20,88.07000000000001
7718,20,88.15
7748,20,88.27999999999999
7778,20,88.36999999999999
7808,20,88.50000000000001
7838,20,88.60000000000001
7868,20,88.68
7898,20,88.79999999999998
7928,20,88.90999999999998
7959,20,88.96
7989,20,88.99
8019,20,89.11000000000001
8049,20,89.32000000000002
8079,20,89.43
8109,19,89.51
8139,19,89.57
8169,19,89.69
8199,19,89.75999999999999
8229,19,89.84
8259,19,89.9
8289,19,89.99000000000001
