1,39,1.0
4,42,1.0
6,70,1.4
11,80,1.0
5,105,1.2
15,110,1.0
9,125,1.1
13,126,1.0
2,130,3.7
8,134,1.0
3,195,1.0
7,198,4.2
10,229,4.3
14,401,1.0
12,404,4.8
25,476,0.9
20,527,1.0
18,835,1.7
16,858,4.2
24,998,1.1
17,1177,5.3
19,1207,5.5
33,1210,0.6
40,1259,1.0
36,1300,1.0
37,1367,1.0
27,1555,1.0
21,1843,4.5
22,2082,4.0
28,2247,2.9
23,2329,5.4
35,2354,1.0
30,2371,2.9
38,2495,1.0
43,2780,0.3
41,2819,1.0
44,2906,0.6
45,2950,0.5
29,3187,3.8
39,3258,1.6
32,3430,0.8
26,3722,5.3
34,4015,2.8
31,4207,4.4
42,4976,1.0
46,11409,0.8
47,16512,0.8
49,17234,1.1
50,17795,1.3
48,36488,3.4
